,text,class
154,"Правительство Хади стремилось подорвать старый банк Саны за рубежом по крайней мере с 2016 года, когда тогдашний премьер-министр Йемена Ахмед Обайд бин Дагер обратился к Международному валютному фонду с просьбой заморозить активы банка Саны, утверждая, что они использовали иностранные средства страны. обменивать резервы ""безответственно"", согласно Wall Street Journal.",Проблемы с активами
155,"""Укррудпром"" проанализировал судебный реестр и выяснил, что на 7 октября прошлого года компаний, которые подали иски к ГП ""Гарантированный покупатель"", было более 50, общая сумма ущерба по исковым заявлениям превышала 630 млн грн.",Рост убытков
156,"Подать жалобу в жилищную инспекцию и Роспотребнадзор можно в электронном виде на портале ""Госуслуг"".",Жалобы потребителей
157,В 1998 г. генеральный прокурор Клас Бергенстранд сделал попытку повторно возбудить дело против Кристера Петтерссона по обвинению в убийстве Улофа Пальме.,Возбуждение уголовного дела
158,Главе Кизлярского ОМВД предъявили обвинение по делу о терактах в Москве в 2010 г - СК,Теракт
159,"Корпоративный конфликт с банком ""Восточный"" был урегулирован еще до начала разбирательства в Мещанском суде.",Акционерный конфликт
160,"Выступая на международной конференции Средиземноморские диалоги Паоло Джентилони заявил о том, что Россия в октябре – ноябре на четверть сократила поставки газа в Евросоюз по сравнению с аналогичным периодом прошлого года.",Падение продаж
161,"Власти Объединенных Арабских Эмиратов ( ОАЭ) направят Турции материальную помощь в размере 36,7 млн дирхамов (около 10 млн долларов США) для ликвидации последствий лесных пожаров и наводнений.",Наводнение
162,"В таких взрывах участвует метан в количестве сотен тысяч и даже миллионов кубометров, как в Карагандинском бассейне, где известны случаи, когда выброс метана в шахты при внезапном взрыве превышал 2 миллиона кубометров.",Техногенные катастрофы
163,"Как сообщает РИА Новости, в январе 2022 года у побережья королевства Тонга произошло мощное извержение вулкана Хунга-Тонга-Хунга-Хапаи, которое вызвало сильное землетрясение и цунами, достигшее берегов Перу.",Стихийные бедствия
164,"Я поехал делать выемку документов Двоскина в паспортном столе, а там посиживает милиционер и не дает мне документы на основании постановления о выемке.",Выемки
165,"Только на этот раз ООО ""Вулкан"" принесло владельцам 381 млн рублей убытка вместо прежней прибыли 3,9 млрд рублей – с этим результатом компания Рустема и Лидии Сультеевых год назад пребывала на 13-м месте в списке прибыльных.",Убытки
166,"Марина Ракова была задержана 6 октября, на следующий день ее арестовали.",Заключение под стражу
167,"Прибыв на место, пожарные установили, что горит 200 квадратных метров склада, где хранятся старые телевизоры, компьютеры, а также краска.",Пожары
168,"Накануне, 14 августа, самолет-амфибия Бе-200 Минобороны России разбился при заходе на посадку во время тушения лесных пожаров в Турции.",Авиакатастрофа
169,"27 февраля 2018 года основная прокуратура округа Сеул  приговорить Пак Кын Хе к 30 годам отбывания свободы и штрафу в размере 118,5 млрд вон (около $105,7 млн) по обвинению во взяточничестве, нарушении должностных полномочий и вымогательстве.",Экономические преступления
170,потерей устойчивости строительных и портовых кранов и их падением;,"Чрезвычайные происшествия, чрезвычайные ситуации"
171,"По версии следствия, Громов ""заказал"" Колтышеву убийство моего мужа якобы в связи с конфликтом из-за раздела имущества ООО ""Камбий"", в котором раньше они вместе работали.",Убийство
172,"Помимо Раковой и Зуева в рамках дела о мошенничестве в особо крупном размере были задержаны: бывшие сотрудники Фонда новых форм развития образования Евгений Зак и Максим Инкин, исполнительный директор ""Шанинки"" Кристина Крючкова, а также гражданский муж Раковой Артур Стеценко.",Уголовное задержание
173,"Крупнейшая компания по производству электромобилей Tesla отозвала 7600 автомобилей в США из-за потенциальной проблемы с подушкой безопасности, сообщает Reuters.",Отзыв продукции
174,Приговором Мирового судьи Прилузского судебного участка Республики Коми от 03.07.2020 Игушев А.В. был признан виновным в совершении преступления предусмотренного ч.1 ст.139 УК РФ и было назначено наказание в виде 7 месяцев исправительных работ с удержанием 10% от заработка в доход государства.,Нарушение закона
175,"С точки зрения отдельных гидрогеологов, именно сюда по подземным горным выработкам может продрейфовать радиоактивная вода после разрушения радиоактивной капсулы на месте подземного ядерного взрыва в шахте ""Юнком"" в пригороде Енакиево поселке Юнокоммунаровск.",Ядерный взрыв
176,"Загрязнение вдоль тихоокеанского побережья Перу было спровоцировано извержением подводного вулкана Хунга-Тонга-Хунга-Хаапай в Королевстве Тонга, которое произошло 15 января.",Извержение вулкана
177,"Всех троих обвинили в том, что они участвуют в деятельности террористической организации, а также заняты организацией финансирования терроризма.",Поддержка террористов
178,"Силва добавил, что военно-морской флот готовился к ликвидации разлива нефти после того, как корабль затонул.","Катастрофы, крушения"
179,"Потом в пресс-службе компании сообщили, что действительно утечка произошла, но ее ликвидировали, что площадь разлива нефти составила 200 квадратных метров.",Утечка нефти
180,"Князя В. А. Долгорукова, военного министра, как пишет историк Тарле, уличали ""в хищениях, взяточничестве, в кормлении солдат и матросов сгнившими сухарями, в продаже корпии и лечебных припасов англичанам"".",Взятки
181,"Упор обвинения делался на создание еврейской националистической, изменнической, террористической организации, участники которой ставили своей целью свержение существующего в СССР строя путем вооруженного восстания и совершения терактов над руководителями Советского правительства и КПСС .",Теракт
182,"В Санкт-Петербурге в пятницу вечером загорелся корабль, который строят на ""Северной верфи"" для Министерства обороны.","Катастрофы, крушения"
183,"Заседание проходило под председательством Александра Умникова, который поприветствовал участников совещания от имени Главы НМР Айдара Метшина, выражая его отношение к вопросу коррупции: ""Вы знаете, мою личную позицию в данном отношении – любой доказанный факт коррупционных проявлений должен быть наказан, - отметил Александр Умников.",Коррупция
184,Минимум два акционера Activision Blizzard подали в суд на компанию за нарушение Закона о фондовых биржах.,Нарушение прав акционеров
185,"Инцидент в метро стал самым смертоносным с 1975 года, когда в результате столкновения двух поездов погиб 31 человек.","Беспорядки, конфликты и войны"
186,Помимо этого следственные органы возбудили дело и в отношении двух сотрудников сибирского отделения Ростехнадзора.,Техногенные катастрофы
187,"Ограничивает возможности других компаний поставлять дополнительные объемы газа: Нафтогаз подал в Еврокомиссию жалобу на ""Газпром""",Жалобы потребителей
188,"Напомним, что изначально 27-летнего математика Азата Мифтахова задержали  по подозрению в изготовлении СВУ В Москве задержан аспирант МГУ, изготавливающий СВУПри обыске в его комнате обнаружили следы взрывчатки , которое было обнаружено в Балашихе 11 января 2018 года.",Уголовное задержание
189,Первый взрыв ядерного оружия на Семипалатинском испытательном ядерном полигоне прогремел 29 августа 1949 года.,Ядерный взрыв
190,"В то же время акции банков росли вместе с доходностью гособлигаций, поскольку инвесторы корректировали позиции в ожидании потенциальных последствий сокращения скупки активов Федрезервом и в преддверии продажи новых 20-летних облигаций позднее на этой неделе.",Проблемы с активами
191,"30 мая он был задержан, против него возбудили уголовное дело по обвинению в насилии в отношении сотрудников милиции.",Уголовное обвинение
192,В периоды всемирных потопов происходило опускание целых материков.,Наводнение
193,"У здания обрушилась кровля, пожару был присвоен второй ранг.",Обвал
194,"Наше предварительное расследование все еще продолжается, но мы призываем Tesla отозвать автомобили с дорог до тех пор, пока не будет проведен полный анализ случившегося"", - говорится в заявлении Герагоса.",Отзыв продукции
195,"23-й президент признан виновным в коррупции и торговле влиянием по ""делу о прослушке"".",Коррупция
196,"Али Риза Полат, которого назвали ""ключевой фигурой"" в организации нападений, был признан виновным в соучастии в террористических преступлениях, совершенных братьями Куаши и Амеди Кулибали а также в получении и хранении оружия и боеприпасов.",Привлечение к уголовной ответственности
197,"В июле бойцы спецназа в масках ворвались на съезд движения в концертном зале гостиницы ""Измайлово"" и задержали нескольких участников ""Реструкта"", причастных к убийству Алышева.",Убийство
198,"25 октября взрыв газа произошел на четвертом этаже пятиэтажного дома в Набережных Челнах, разрушены оказались несколько квартир.",Взрыв газа
199,"- ПАО ""Россети Кубань"" ( MOEX: KUBE), получившее в 2020 году 1,5 млрд рублей чистого убытка по РСБУ, не будет выплачивать дивиденды по итогам года.",Убытки
200,Есть еще погибшие после обстрелов школы авиабомбами. Сегодня спокойнее.,"Беспорядки, конфликты и войны"
201,"Так, например, с осени 2021 года была ликвидирована авиакомпания Alitalia.",Закрытие предприятия или производства
202,"Подобным образом прошел метеоритный дождь в Китае, наблюдаемый во всем мире в феврале 2012 года.",Падение метеорита
203,↑ Павел Дуров ликвидирует Telegram Messenger LLP,"Закрытие филиала, представительства"
204,"Компания со своей стороны утверждает, что разлив нефти произошел из-за высоких волн, вызванных извержением подводного вулкана Хунга-Тонга-Хунга-Хаапай в Королевстве Тонга.",Извержение вулкана
205,"Задачей проектного офиса является недопущение коррупционных проявлений, создание комфортных условий для граждан, искоренение бытовой коррупции, повышение антикоррупционной культуры, доверия граждан к институтам государственной власти.",Коррупция
206,"По данным надзорного ведомства, фонд постоянно срывал сроки работы, плохо следил за подрядчиками и нарушал закон при взыскании денег с должников.",Нарушение обязанностей
207,"По неподтвержденным сведениям, при снайперской атаке боевиков погибли трое сирийских военнослужащих.",Теракт
208,ТАСС: РЕЗЕРВИРОВАНИЕ США ЧАСТИ ЗАМОРОЖЕННЫХ АКТИВОВ АФГАНСКОГО ЦБ ДЛЯ ВЫПЛАТЫ КОМПЕНСАЦИЙ ЖЕРТВАМ ТЕРАКТОВ 11 СЕНТЯБРЯ 2001 Г. АБСУРДНО - МИД РФ,Проблемы с активами
209,"По данным города Кайе префектуры Токусима, городские власти подтвердили, что пять лодок перевернулись или затонули в районе рыбного порта Сишикуи.",Кораблекрушение
210,"Напомним, что в отношении бывших народных депутатов республики Уарова и Саввина было возбуждено уголовное дело по пункту ""в"" части 5 статьи 290 УК РФ (""получение взятки в крупном размере""), помимо этого, Уаров обвиняется по части 1 статьи 159 УК РФ (""хищение чужого имущества путем обмана"").",Экономические преступления
211,Ранее генеральный прокурор при Верховном суде Нидерландов вынес независимое консультативное заключение по слушаемому в Верховном суде спору бывших акционеров обанкроченной нефтяной компании ЮКОС с РФ.,Акционерный конфликт
212,Икарди и Ванда Нара подозреваются в отмывании денег и коррупции,Отмывание денег
213,"Обман с картами Яндекс. Плюс, плохое качество сервиса и IT",Жалобы потребителей
214,"В результате мощного землетрясения в субботу, 14 августа, разрушены тысячи домов и других зданий, ранены по меньшей мере 5700 человек и тысячи перемещены.",Землетрясение
215,"""Ощадбанк"" тоже закрыл достаточно много отделений в стране.",Закрытие предприятия или производства
216,Цунами после извержения вулкана в Тонга вызвало разлив нефти в Перу,Стихийные бедствия
217,"Акционер обратился в суд, основываясь на законе ""Об акционерных обществах"".",Нарушение прав акционеров
218,"""Нафтогаз"" как один из крупнейших покупателей газа в Европе также терпит убытки из-за этих злоупотреблений.",Убытки
219,"продвижение в двустороннем и многостороннем форматах российских инициатив по вопросам противодействия экстремистской деятельности, в том числе осуществляемой с использованием сети ""Интернет"";",Экстремизм
220,С начала осени в России произошло почти 20 взрывов газа,Взрыв газа
221,"16 августа на Камчатке со дна Кроноцкого озера подняли пятое тело туриста, который погиб в результате крушения вертолета Ми-8Видео: ГУ МЧ РФ по Камчатскому краю",Авиакатастрофа
222,Весной 2012 года лондонский суд приговорил Ибори к 13 годам тюрьмы за отмывание денег и другие финансовые преступления.,Отмывание денег
223,Следствие обвиняло его в организации деятельности экстремистской организации.,Экстремизм
224,"Чистый процентный доход банка за девять месяцев 2021 года снизился на 3,3% по сравнению с сопоставимым периодом (до 1,03 млрд грн), в то время как чистый комиссионный увеличился на 7,5% (до 195,3 млн грн).",Падение прибыли
225,1864 – В ходе Гражданской войны в США произошло Сражение у Чаффинс-Фарм.,"Беспорядки, конфликты и войны"
226,"Представители Генпрокуратуры попросили Верховный суд ликвидировать общество ""Мемориал"" в связи с систематическим игнорированием им законов и дискредитацией органов государственной власти.","Закрытие филиала, представительства"
227,"Например, все то же ГСУ Нацполиции ищет доказательства того, что должностные лица КП ""Киевпастранс"" занимались растратой и присвоением бюджетных средств при закупке в 2017 году ""современных павильонов ожидания с вмонтированными урнами для мусора"", а также услуг по капремонту зданий и сооружений.",Растрата денежных средств
228,"Как сообщили Znak.com в аппарате суда, Гончарову признали виновной по части 3 статьи 159 УК РФ (""Мошенничество в крупном размере"").",Экономические преступления
229,Чистая прибыль Amazon упала на 50% из-за растущих издержек,Падение прибыли
230,"Один из ведущих активистов ""Башкорта"" Руслан Габбасов эмигрировал в Литву из-за угрозы возбуждения против него уголовного дела по ""экстремистской"" статье УК.",Экстремизм
231,Для тушения масштабных лесных пожаров Украина отправила в Турцию два пожарных самолета.,Пожары
232,"В 2020 году ГК ""Абрау-Дюрсо"" снизила продажи на 5%, до 41,05 млн бутылок, в том числе продажи собственной продукции - на 6%, до 39,51 млн бутылок.",Падение продаж
233,"По данным следствия, Меркушкин в 2015 году дал взятку в сумме более 7 млн рублей управляющему отделением Национального банка по Республике Мордовия Волго-Вятского Главного управления Центрального банка Российской Федерации Тренькину.",Взятки
234,"""Запреты на рекламу нездоровой еды и алкоголя стоят $500 млрд. Brand Finance подсчитала убытки крупнейших производителей от таких ограничений.",Убытки
235,"Однако до ""лесного фонда"" Сипягин может не дотянуться, учитывая, что еще будучи губернатором его уличали о возможной причастности к незаконному бизнесу – а именно, добыче песка.",Мошенничество
236,"24 мая Альфа-банк подал против Хотина пять исков, обвинив его в нарушении условий мирового соглашения 2017 года о споре на $700 млн. 13 сентября стало известно, что СКР завел еще одно дело – о хищении на 283 млрд руб., таким образом совокупный ущерб превысил 290 млрд руб.",Экономические преступления
237,Обоих бизнесменов признали виновными в крупном мошенничестве и приговорили к реальным срокам заключения.,Нарушение закона
238,"Ранее президент компании Николай Токарев сообщал, что ""Транснефть"" допускает приостановку деятельности дочернего предприятия в Белоруссии на фоне действий белорусских властей.",Финансовые затруднения
239,"Эксперты о сильном землетрясении в Израиле: ""Дома станут смертельной ловушкой""",Землетрясение
240,3 ноября Черемушкинский районный суд поместил его в СИЗО по уголовному делу об организации террористической деятельности.,Заключение под стражу
241,"По итогам 2020 года чистый убыток ОАК по международным стандартам финансовой отчетности вырос по сравнению с предыдущим годом в 2,7 раза - до 165,5 млрд рублей.",Рост убытков
242,"Как сообщала пресс-служба СУ СКР по Волгоградской области, в ходе расследования было установлено, что услуги в области пластической хирургии были оказаны потерпевшей с грубыми нарушениями норм законодательства.",Нарушение закона
243,"Чистая прибыль ""Сафмар ФИ"" по РСБУ упала в 1 полугодии на 10%, следует из отчетности компании.",Падение прибыли
244,"Причиной столкновения российского сухогруза ""Амур"" и японского рыболовного судна ""Дай-хати Хокко-мару"" мог стать сильны туман, приведший к плохой видимости.",Кораблекрушение
245,В результате наводнения в Германии и Бельгии погибли по меньшей мере 222 человека и был нанесен огромный ущерб.,Наводнение
246,"Как сообщает РИА Новости, Скобликов получил выговор за плохую уборку города и состояние детских площадок, а Тихончук – за срыв сроков реализации инфраструктурных проектов.",Нарушение обязанностей
247,"Обратиться в суд с ходатайством о завершении конкурсного производства в отношении ОАО ""АвтоВАЗагрегат"", в связи с тем, что на текущую дату не завершены расчеты с кредиторами должника от членов комитета кредиторов, присутствовавших на заседании комитета, поступило предложение о повторном объявлении перерыва по второму вопросу повестки дня: ""2.",Закрытие предприятия или производства
248,"Линейка планшетов Apple последний раз обновлялась в октябре 2020 года. iPad был единственным крупным продуктом компании, продажи которого снизились в декабрьском квартале.",Падение продаж
249,"Он не исключает, что сумма убытков может вырасти, когда предприятие получит дополнительную информацию от Совета по конкуренции.",Рост убытков
250,"Ей предъявили обвинение по ч. 1 ст. 282.3 УК (финансирование экстремистской деятельности) из-за того, что в 2018 и 2019 годах она перевела шесть тысяч рублей в качестве пожертвования на карту Агиляш, матери Дильмухаметова, приговоренного в 2020 году к девяти годам колонии строгого режима по сумме статей УК.",Поддержка террористов
251,Бральнин был задержан в Москве по подозрению в коррупционных преступлениях после того как подал в отставку по собственному желанию.,Коррупция
252,"ЧП случилось в порту Бошняково на Сахалине: неудачный маневр судна-буксира привел к повреждению корпуса балкера, из которого в море полился мазут.","Чрезвычайные происшествия, чрезвычайные ситуации"
253,"ИНТЕРФАКС - Чистая прибыль ПАО ""ФСК ЕЭС"" ( MOEX: FEES) по МСФО в I квартале 2021 г. незначительно сократилась по сравнению с аналогичным периодом прошлого года - на 0,5%, до 19,6 млрд руб., следует из отчета компании.",Падение прибыли
254,"Компания Tesla отзовет почти полмиллиона автомобилей у их новых владельцев, что примерно равно числу поставленных автомобилей за весь 2020 год.",Отзыв продукции
255,"""Убийство Фахризаде является частью того, что кажется попыткой администрации Трампа и правительства Нетаньяху использовать время, оставшееся до вступления в должность избранного президента США Джозефа Байдена, для усиления давления на Иран.",Убийство
256,Первоначально обвинение касалось мошенничества на 507 млн руб.,Коррупция
257,"Также можно подать обращение на сайте Управления http://42.rospotrebnadzor.ru/ в разделе ""Виртуальная служба"", ""Форма обращений граждан"".",Жалобы потребителей
258,"Чистая прибыль ПАО ""ФСК ЕЭС ( MCX: FEES)"" по МСФО в 3-м квартале 2021 г. снизилась на 13,6% - до 18,158 млрд руб. по сравнению с 21,009 млрд руб. в июле-сентябре прошлого года, следует из отчета компании.",Падение прибыли
259,"В то время как жара в России бьет очередные рекорды, в Якутии, на Дальнем Востоке и Урале вновь вспыхнули лесные пожары.",Пожары
260,- Генпрокуратура России примет меры к взысканию с виновных ущерба от разлива нефтепродуктов в Черном море в районе Новороссийска.,Техногенные катастрофы
261,"Но в октябре Следственный комитет все же завел дело на сотрудницу красноярского ГУ МВД, проигнорировавшую заявление об изнасиловании девочки, которое ее мать подавала еще в 2019 году.",Возбуждение уголовного дела
262,Девушка обвиняемого по делу об оправдании терроризма блогера Юрия Хованского Мария Нелюбова создала петицию с требованием прекратить уголовное преследование ее молодого человека и освободить его из СИЗО.,Экстремизм
263,"Поскольку климатологи думали о погодных аномалиях, концентрируя внимание на одном типе бедствий (наводнения или засухи), одновременное их наступление шокировало ученых.",Наводнение
264,"30 ноября Измайловский суд Москвы приговорил бывшего схиигумена Сергия (в миру Николая Романова) к 3,5 года колонии общего режима по статьям 330 (""Самоуправство""), 110.1 (""Склонение к самоубийству"") и 148 (""Нарушение права на свободу совести и вероисповеданий"") УК РФ.",Привлечение к уголовной ответственности
265,В г. Ногинске в Московской области на территории бывшей ткацкой фабрики при проведении демонтажных работ произошло обрушение части стены здания.,Обвал
266,"Согласно данным российского ""Гринписа"", площадь разлива мазута в порту составила 100 кв метра.",Утечка нефти
267,"При этом ингрессия Венеры в Близнецы способна вызвать финансовые проблемы, если вовремя не изменить подход к тратам.",Финансовые затруднения
268,"А.Мамедову были предъявлены обвинения по статьям 179.4 (присвоение или растрата), 193-1.3.2 (легализация денежных средств, полученных преступным путем), 308.2 (злоупотребление должностными полномочиями), 311.3.2 и 311.3.3 (повторное получение взятки в крупном размере) Уголовного кодекса АР.",Мошенничество
269,"Так на Кольском полуострове, на месторождении апатитов был проведен подземный ядерный взрыв с отсеком захоронения радиоактивных продуктов.",Ядерный взрыв
270,"В сентябре 2021 Национальный банк принял решение отозвать банковскую лицензию и ликвидировать банк ""Земельный капитал"".","Закрытие филиала, представительства"
271,"К слову, по всем перечисленным фактам сейчас также проводятся доследственные проверки силами органов МВД, прокуратуры и Следственного комитета, и есть все основания полагать, что возбужденное уголовное дело о злоупотреблениях и растрате далеко не последнее...",Экономические преступления
272,"В Атырауском облсуде объяснили, что заместитель акима Бакытгуль Хаменова подозревается в тяжком коррупционном преступлении, именно поэтому ей следует находиться под арестом, передает Zakon.kz.",Противодействие коррупции
273,"По данным следствия, Клетин, являясь гражданином РФ, в нарушение закона сокрыл факт наличия у него гражданства государства Израиль и не уведомил об этом территориальный отдел по вопросам миграции ОМВД России.",Нарушение закона
274,Продажи дилеров АвтоВАЗа снизились на фоне сбоя поставок запчастей,Падение продаж
275,"Согласно отчету Canalys, в третьем квартале 2021 года продажи беспроводных наушников Apple снизились на 33,7% в сравнении с третьим кварталом 2020 года.",Падение продаж
276,"Согласно нормам конвенции ООН, каждое государство-участник, в соответствии с основополагающими принципами своей правовой системы, разрабатывает и осуществляет или проводит эффективную и скоординированную политику противодействия коррупции.",Противодействие коррупции
277,"Обвиняемого в убийстве Зелимхана Хангошвили, гражданина РФ Вадима Красикова / Соколова приговорили в Германии к пожизненному заключению.",Уголовное обвинение
278,"Накануне уголовное дело по факту разлива нефтепродуктов в районе морского порта Новороссийска, возбужденное органами внутренних дел по статье УК РФ ""Загрязнение морской среды, переданное в производство Западного межрегионального следственного управления на транспорте СК России,",Утечка нефти
279,Тверским районным судом города Москвы в отношении них и Артура Стеценко избрана мера пресечения в виде заключения под стражу.,Привлечение к уголовной ответственности
280,"Смена власти в 2014 году и ликвидация банка ""Надра"" была расценена Сегалями как возможность взять под свой контроль ново-каховскую фабрику, построенную на выведенные из банка деньги.",Закрытие предприятия или производства
281,"07.00: ИГИЛ * совершило нападение в Ракке, в Дейр-эз-Зоре обнаружено обезглавленное тело",Теракт
282,6 ноября на Московском вокзале в Туле мужчина открыл стрельбу.,"Чрезвычайные происшествия, чрезвычайные ситуации"
283,"*** Группа ""Русагро"" в IV квартале 2021 года сократила чистую прибыль по МСФО на 30% по сравнению с показателем за IV квартал 2020 года, до 6,012 млрд рублей.",Падение прибыли
284,"Сгорели деревянные балки перекрытий и двери, обрушился лепной декор.",Обвал
285,"11 сентября 1947	шахта ""Северная""	г. Кемерово	взрыв газа	53",Взрыв газа
286,Взрывы на складах – государственная тайна?!,Техногенные катастрофы
287,На службах подсудимые якобы участвовали в сборе пожертвований – этот факт лег в основу обвинения в финансировании экстремистской организации.,Поддержка террористов
288,Сочи оказался перед угрозой смерчей,Стихийные бедствия
289,"США обвиняли прежние власти Судана в оказании содействия террористической группировке ""Аль-Каида"" (запрещена в России) в организации взрывов у посольств США в Кении и Танзании в 1998 году, жертвами которых стали более 200 человек, включая 12 американцев.",Поддержка террористов
290,"Он также добавил, что полицейские изымают у коррупционеров имущество, полученное незаконным путем.",Мошенничество
291,Во время производства работ на 7 этаже недостроенного здания на одного из строителей обрушилась часть стены.,Обвал
292,"Во время пожара произошло частичное обрушение конструкций – как ангарной пристройки, так и внутри здания.",Обвал
293,"Учитывая многочисленность правовых актов и обширность регулируемых ими сфер деятельности, в антикоррупционной экспертизе постоянно задействованы независимые эксперты, аккредитованные Минюстом России, а также крупные научные и образовательные учреждения страны.",Противодействие коррупции
294,Но вот вопрос: насколько точно наводнение и уничтожение связаны с этими самыми климатическими изменениями?,Наводнение
295,"В минэкологии Азербайджана подтвердили, что их специалисты предполагают, что пожар на Каспии связан с извержением вулкана.",Извержение вулкана
296,"В Тюмени на Юрнеделе состоится сессия ""Корпоративные споры: новые вызовы, участники, методы"".",Акционерный конфликт
297,"Коллеги из Европы обрушились с критикой на главную газовую компанию России – по их мнению, ""Газпром"" манипулирует европейцами при помощи отказов в поставке сырья на спотовом рынке.",Манипулирование рынком
298,"""Ведомости"" 20 лет существовали, там никогда не было никаких корпоративных, внутриредакционных конфликтов.",Акционерный конфликт
299,"В Дубае ( ОАЭ) задержан уроженец Чечни Ахмед Хамидов, который пять лет находился в розыске.",Уголовное задержание
300,"В документах суда также сообщается, что прокуратура обратилась в суд для защиты интересов правительства Иркутской области, при этом министерство имущественных отношений региона – единственный акционер КРИО – не считает свои права нарушенными и ""в судебной защите не нуждается"".",Нарушение прав акционеров
301,"""Блокнот Ставрополя"", 20.07.2021, ""Махинации с грузовым транспортом и многомиллионная взятка: на чем попался глава ГИБДД Ставрополья и его сообщники"": В распоряжении редакции оказались материалы уголовного дела, которое было возбуждено 19 июля 2021 года.",Противодействие коррупции
302,"В Калтане Кемеровской области обвинение по ч. 1 ст. 282.2 УК было предъявлено Александру Цикунову, а по ч. 2 – Виталию Сырых, обоих отправили под домашний арест.",Уголовное обвинение
303,Использование сходного фирменного наименования вызывает смешение на рынке и вводит потребителей в заблуждение,Жалобы потребителей
304,"Предположительно, вертолет, вылетевший с посадочной площадки ""Березовая"", задел линию электропередачи и упал в воду.",Авиакатастрофа
305,"Сообщалось, что в СК его отвезли для того, чтобы расспросить по делу об убийстве 1993 года.",Убийство
306,"Через месяц глава СК России Александр Бастрыкин подал в Высшую квалификационную коллегию судей РФ ходатайство с требованием разрешить возбуждение уголовного дела в отношении Добрыниной, но не за получение взятки, а мошенничество, совершенное в особо крупных размерах.",Возбуждение уголовного дела
